slug,clashes_before,clashes_after,energy_before_kJ,energy_after_kJ,energy_drop_kJ,time_s,source
gfpxm16,7.0,8.0,71730.53620233823,11639.343240265158,60091.19296207307,11.502570390701294,openmm_minimized
gfpxm161,9.0,9.0,65245.316703501725,11462.218673442112,53783.09803005961,10.48745608329773,openmm_minimized
gfpxm162,8.0,8.0,30536737999.744907,12379.23335713562,30536725620.51155,12.67610478401184,openmm_minimized
gfpxm163,8.0,9.0,82187.68838353091,11259.656902914732,70928.03148061618,14.20471739768982,openmm_minimized
gfpxm18,8.0,8.0,673351.6706499854,11421.8790781649,661929.7915718205,12.415767192840576,openmm_minimized
gfpxm181uv,10.0,9.0,73493.54169625367,11939.315081737504,61554.22661451616,12.46946406364441,openmm_minimized
gfpxm18uv,11.0,9.0,71962.54497714125,12239.137887271849,59723.407089869404,12.337591648101808,openmm_minimized
gfpxm19,8.0,7.0,35394429.89696545,12432.11789621025,35381997.779069245,10.622642993927002,openmm_minimized
gfpxm191uv,6.0,6.0,198440.48762935473,11781.367636657586,186659.11999269715,13.522162675857544,openmm_minimized
gfpxm19uv,8.0,9.0,68335.3817522538,12372.19418729739,55963.18756495641,10.240994215011597,openmm_minimized
ggvt,13.0,18.0,7605499589.967206,30306.566465321124,7605469283.400741,26.013634204864506,openmm_minimized
grvt,10.0,12.0,6242380758.895646,28332.74532457081,6242352426.150322,23.91948437690735,openmm_minimized
gtencp,5.0,7.0,60990.15960070963,11940.265208342862,49049.89439236677,12.097209692001345,openmm_minimized
h2-3,11.0,12.0,14006569.898670264,13419.42400391086,13993150.474666355,13.564265489578249,openmm_minimized
h9,7.0,6.0,49289.61726824099,11290.083289590271,37999.53397865072,11.199529647827148,openmm_minimized
hcred-tandem,14.0,17.0,109939981.4717261,11190.683830495496,109928790.7878956,11.88691234588623,openmm_minimized
hcred1-blue,14.0,22.0,1073427.521708352,12784.925958835654,1060642.5957495165,11.392092227935793,openmm_minimized
hcricp,7.0,9.0,79279.19333703173,8754.073261552603,70525.12007547912,13.72597050666809,openmm_minimized
hcrigfp,4.0,11.0,4904629.624530281,14218.175901951932,4890411.448628329,11.4749858379364,openmm_minimized
hfrifp,6.0,6.0,305538.06459878484,10134.389559479823,295403.675039305,11.840413331985474,openmm_minimized
hmgfp,22.0,21.0,519311005.8030176,13777.532072306363,519297228.27094525,11.910899877548218,openmm_minimized
hmkeima85,10.0,11.0,359172.4707234421,10867.226220728451,348305.2445027136,10.1548171043396,openmm_minimized
htfunclib_acid1,8.0,8.0,54023.11280412998,13585.988776742255,40437.12402738773,13.383568286895752,openmm_minimized
htfunclib_acid2,7.0,7.0,67778.93741994388,13211.856282859677,54567.0811370842,14.527162551879885,openmm_minimized
htfunclib_acid3,1.0,1.0,400277.7309124485,13813.472134959948,386464.25877748855,12.995291709899902,openmm_minimized
htfunclib_acid4,10.0,10.0,69464.74004489824,13128.112320318114,56336.627724580125,11.475666284561155,openmm_minimized
htfunclib_acid5,14.0,11.0,70202.48303087783,12380.308697748114,57822.17433312972,14.696596384048462,openmm_minimized
htfunclib_acid6,10.0,10.0,61626.817771302034,13305.390886190691,48321.426885111345,14.62063765525818,openmm_minimized
htfunclib_basic1,8.0,8.0,2296456.779856147,13074.27666229153,2283382.5031938553,13.458334922790527,openmm_minimized
htfunclib_basic2,9.0,8.0,61251.27906547895,12860.01992188268,48391.25914359627,12.563042163848875,openmm_minimized
htfunclib_basic3,12.0,10.0,62822.10013288467,12926.570147062786,49895.52998582189,13.817910194396973,openmm_minimized
htfunclib_basic4,7.0,6.0,85303.2440395721,13784.90979928408,71518.33424028802,13.433579444885254,openmm_minimized
htfunclib_basic6,9.0,8.0,62338.88422128635,13499.619930146107,48839.26429114024,13.908134698867798,openmm_minimized
htfunclib_bleach1,2.0,5.0,6741621.849384815,14756.068542978845,6726865.780841837,13.663068056106567,openmm_minimized
